sysid,sysname,lat,lng
9999,"CitiBike (Jersey City, NJ)",40.724851,-74.039894
74,"BikeTown (Portland, OR)",45.5230622,-122.6764816
73,"Metro Bike Share (Los Angeles, CA)",34.0522342,-118.2436849
60,"Divvy (Chicago, IL)",41.8781136,-87.6297982
58,"CoGo (Columbus, OH)",39.9611755,-82.9987942
56,"Capital Bikeshare (Washington, DC)",38.9071923,-77.0368707
54,"Bike Chattanooga (Chattanooga, TN)",35.0456297,-85.3096801
53,"MetroBike Austin (Austin, TX)",30.27033279,-97.74929168
43,"Indego (Philadelphia, PA)",39.9525839,-75.1652215
4,"Bay Wheels (San Francisco, CA)",37.773833,-122.410143
29,"Healthy Ride, now POGOH (Pittsburgh, PA)",40.44545775,-79.98496597
25,"Nice Ride Minnesota (Minneapolis, MN)",44.977753,-93.2650108
3,"CitiBike (New York, NY)",40.909849,-72.673371
1,"Blue Bikes (Boston, MA)",42.3600825,-71.0588801
